game	year	problem_type	problem_from_postmortem	antipattern	sw_antipattern	author
Brütal Legend	2010	team	First, in an attempt to address the lack of dedicated tools programmers we experienced on Psychonauts, we created a tools group within Brütal Legends engineering team, and staffed it with four engineers. While this was an improvement over Psychonauts, the problem with this approach was that it facilitated the separation of tools work from the rest of the engineering effort, isolating the accessibility of the tools to the user from the process of delivering features for the game. Often, this separation created inefficiencies in implementation, or a mismatch between the tools design and the runtime feature it supported -- in several cases, this disconnect even led to sprints where a runtime team would complete an artist-facing feature without any tools support for it at all, making that feature (often a milestone deliverable to demonstrate) unusable. A second critical mistake involved effective tools prioritization. Without strong guidance from content creation, the tools team focused initially on back end services such as tools deployment and build infrastructure, with the intent that these services would serve as a productivity multiplier on future tools development. Unfortunately, without any tools to distribute or code to build, these initial investments significantly delayed the development of content/game-facing tools. (...) In hindsight, we should have created a programming team structure that enabled the creation of good tools alongside the development of runtime features, perhaps even allocating a larger percentage of the engineering team to tools early in development. (...) 	(absent/inadequate tools: planning and creation of tools took a long time)	none	none
Wild 9	1998	feature-creep	I’ve already sung the praises of our scripting language, but not everything was totally perfect in this picture. Although it ended up being very useful, it became clear early on that the language and its op-codes had massive loopholes and gotchas waiting to jump on us. To help other programmers with their first steps, Gregg started maintaining a document as he was learning the AI system. This document described all the major problems that he’d encountered and ways around them that he’d discovered.	(absent/inadequate tools: scripting language had advantages but also had a long learning curve)	none	none
The Italian Job	2002	scope	The inclusion FMV was discussed at the design stage of TIJ, we planned to use our in-house scripting language known as the Mission Builder which allows us to prototype and create game content quickly without the need of programmers, so designers could create short scenes using the in-game engine and blend it to the corresponding missions for a seamless gaming experience. However, the Mission Builder was never designed to produce complex cinematic scenes and new functionality had to be added to achieve this. The process of creating in game cut scenes could be quite crude since there was a limited amount of feed-back to the designer and to create a short sequence of five seconds could take up to two days which then would have to be constantly tweaked. This involved creating paths for cameras and objects within 3DS Max, then exporting these positions to the Mission Builder where speeds and simple camera behaviors could be scripted to make the scene work. Unfortunately, the designer could not see the total outcome of their work until the stage/mission was compiled and ran.	(absent/inadequate tools: tool development and usability slowed down other aspects of development)	none	none
Brütal Legend	2010	planning	From the start of development, we recognized that good tools needed to be a priority to ensure faster iteration times for our team. A mix of legacy team structure, intrinsic complexity, insufficient input from content creation leadership, poor planning, and bad luck all contributed to a significant delay in the delivery of several critical tools to the team -- delays which jeopardized milestone deliveries, reduced artist productivity, and required unplanned emergency intervention at the expense of other engineering efforts.	(absent/inadequate tools: without quick internal tool deployment, productivity went down)	none	none
Ratchet & Clank	2016	communication	You’re probably aghast, but that’s not the worst of it. We also used Hot Wheels as an asset control system. Seriously—if you wanted to check out a level, you’d grab the corresponding Hot Wheel to signal that it was yours for editing. Level 6 was the 1968 Beatnik Bandit. I always liked that one. Wait, maybe that system was pretty cool)	(asset management issues: unconventional asset management process)	none	none
Dead State	2014	communication	Communication breakdown can happen even when everyone is under the same roof, but when you’ve got a team spread out over multiple time zones, the odds are pretty good that communication will break down. And it did. There was an inherent difficulty in tracking progress: Sometimes emails wouldn’t be answered for 24 hours, builds would hit a major snag and need to be reuploaded, or critical bugs wouldn’t be fixed for a day. Without the team in the same room, meetings went overlong, issues took more time to explain, and momentum/excitement about progress was less tangible. New builds would not always go out on a timetable that was helpful for the Seattle team, where the majority of DoubleBear team members were located. A large amount of gatekeeping of certain systems and code exacerbated delays greatly, and frequently, team members would have to log on at early/late hours to discuss work or fix a bug. We improved communication over time, but many of our delays can be attributed to communication issues and not having a centralized team. If you’re going to use remote team members, make communication a top priority and prepare for the issues that it can cause. (...) Dead State could have benefitted from more team interaction and lead meetings. For our next project, we have already adopted the process of meeting as a group and going over the design and builds together, with lots of opportunity for team feedback to be considered during the early stages. Even if you work remotely, as DoubleBear does, it is intensely helpful -- even vital -- to try and meet on a regular basis, even if you must use stand-ins like Skype if you cannot meet in person.	(bug tracking issues: the dev team found it difficult to track bugs and releases because they were rarely able to join the whole team in meetings at the same time, which caused code conflicts or made task blockers drag over many hours/days before they could be solved)	none	none
Crazy Taxi Fare Wars	2007	communication	Yes, we knew from day one that this would be key to our success. In the end, it is still tough to execute when you are dealing with teams working together but separated by half the globe and a different language. We planned on code integration between multiplayer and single player right after first playable. While that went pretty much as planned, we were not prepared for the problems that came with bug assignment. In case of Crazy Taxi, many bugs were not distinctly multiplayer or single player. That being the case, how did we decide who was responsible for fixing a bug? Would that fix impact the multiplayer/single player game? Many bugfixes worked for fixing immediate issues but would impact work being done by the other team -- when changes made were not clearly documented. Although the bug information was coming in steadily, it became a full time task to manage that data and disseminate it to appropriate team members either in Budapest or Redwood City. It became another layer to bug management that demanded a lot of communication.	(bug tracking issues: the team had difficulties in categorizing bugs and assigning them to the right people, bugfixing caused even more bugs)	none	none
Skittleball	2010	team	There is always going to be times when a team runs into those problems where they just cant seem to find the right solution. Running into the wall is always a problem, but we allowed it to stall the momentum of work on more than one occasion. We would come together as a group and pound on the problem from every possible angle until we cracked the problem. While this did end up solving the problem over time, it also threw us off our rhythm and kept us from working on other areas of the project where we could have actually made some progress. In the future, we should probably have one or two programmers focus on the problem and allow the others to continue to make progress in other areas.	(bug tracking issues: when a big task blocker happened, the whole team stopped to work on removing this blockage, instead of selecting only a focused group of a few people)	none	none
Never Alone	2015	planning	But over the course of development, we realized that to make the game we wanted to make — and to make the game that was faithful to the culture we were representing — we needed to switch to targeting the Xbox One and PlayStation 4. (...) So we made the call to switch with less than a year before launch, but there was still enough time (barely) to make the transition. (...) Unfortunately, we didnt get the dev kits for another three months — a few weeks before it was scheduled to be playable by the public in Microsofts booth at E3.	(changing/adding target platforms: caused re-work)	none	none
Skittleball	2010	crunch-time	At the end of any project in the game industry you expect there to be a bit of a crunch time. We entered crunch time with more problems that you would want and more unfinished game code than you would expect. Part of this is because shooting for the iPad release was a last minute decision.	(changing/adding target platforms)	none	none
Race the Sun	2015	delays	The ports have taken longer than we planned, and each new platform has added varying degrees of overhead.	(changing/adding target platforms)	none	none
Republique	2016	cutting-features	There’s trophies, rumble support, optimizing the game for PS4, making sure your game’s “save area” conforms to televisions properly, to say nothing of the hundreds of TRC compliancy issues that caught us by surprise. We were forced to overcome lot of unique challenges that resulted from Republique having not been originally designed for console.	(changing/adding target platforms)	none	none
Rollers of the Realm	2014	scope	It took almost exactly three years from conception to launch worldwide on all platforms. While a long production cycle proved necessary, it also gave time for issues to bloom. We had planned to launch the PC version of Rollers in late 2013 / early 2014, but we pushed this when we partnered with Atlus USA and added two additional launch platforms (PS4 & Vita). 	(changing/adding target platforms)	none	none
Dark Sun Online	1997	scope	Probably the biggest issues we had during the development of DARK SUN ONLINE were the hacking problems. These problems came as a result of taking a stand-alone game and turning it into a multiplayer game with a peer-to-peer networking system	(cheating/hacking issues: game was being hacked by players because multiplayer MP code was jerry-rigged from singleplayer)	none	none
Unreal Tournament	2000	team	During Unreal, Epic team members flew to Canada to work at Digital Extremes offices. With Unreal Tournament, it became Digital Extremess turn to do the traveling. Unfortunately, flying and driving back and forth every couple of weeks is a very draining experience. Many of the Digital Extremes team members spent several weeks away from their wives and girlfriends. Near the end of the project, they grew increasingly frustrated with the situation. To compound this problem further, Digital Extremes and Epic were attempting an expensive merger. As Unreal Tournament came to a close, it became clear that the merger would not happen. It was prohibitively expensive for a small company to move across the border. Many Digital Extremes team members already had apartments and plans for living in Raleigh, and the news of the terminated merger process was devastating. (...) On the content side, Unreal Tournament was held back by the number of available artists. Epics artist, Shane Caudle, is a supreme Jack-of-all-trades, creating skins, models, and levels of the highest quality. He spent most of his time working on new player models and skins for those models. Digital Extremes brought a few texture artists to the table, but not enough to create the huge libraries of new textures needed for the game. In order to supplement the skin and texture production	(company/team rellocation)	none	none
FishEd	2006	team	With any part-time endeavor, discipline, determination, and stamina are three vital ingredients, and what started off as a fun hobby project quickly turned into something much more serious. Though there was no shortage of ideas and the willingness to implement them, the simple fact remained that there are only 24 hours in a day, and many of those were often spent working on other projects to pay the bills. In 2005 I relocated from the UK to Canada, and as a result the project schedule lost approximately 6 months over the course of development, pushing the release date back even further than originally intended (in retrospect some of the lost time would have been particularly useful for in-depth testing and addressing bugs).	(company/team rellocation)	none	none
Heavy Gear 2	1999	scope	When the smoke cleared and the demo was finally posted, the team gave a sigh of relief and basked in the warmth of a job well done. Unfortunately, this feeling quickly evaporated when we realized that we had taken almost a three-month departure from our original development schedule and totally exhausted ourselves in the process. I still believe a demo is important to the success of a game, but such a task should be closely correlated to the production of the main SKU. Attempting to factor the demo development time and resources into a schedule significantly different from the game itself can profoundly affect both the product’s quality and timeliness.	(demo took too many resources: game demo was not made concurrently with the game itself and took a lot of resources away from it)	none	none
The Blackwell Convergence	2009	delays	Blackwell Convergence came out in July of 2009 -- almost a year and half after it was promised.	(devs worked on multiple projects simultaneously with negative results: not explained by this quote, but explained in the PM)	none	none
Rollers of the Realm	2014	scope	Having the production timeline stretch out meant Rollers rubbed against the work-for-hire projects that we lined up because we need to keep the studio lights on. (...) We needed to split our resources into two project teams. Phantom Compass often works on multiple projects at once, and in many ways this is a strength, but in this case it caused more strain on finishing up Rollers than we would have liked and hurt our ability to polish.	(devs worked on multiple projects simultaneously with negative results)	none	none
Das Geisterschiff	2019	multiple-projects	Most of the time DG was a part-time project, and working on it full-time would give more time to develop better solutions instead of relying on fastest in terms of development time, which worked, but hurt our workflow in one way or another.	(devs worked on multiple projects simultaneously with negative results)	none	none
Sportsfriends	2014	planning	In retrospect, I wasted way too many months, Wilson admits. "Thats part of the reason development got stalled. I was also finishing up my PhD at the time, so I wasnt paying attention to the games development". (...) 	(devs worked on multiple projects simultaneously with negative results)	none	none
Mini Metro	2016	multiple-projects	At the time we started Mini Metro I had a web development job that I enjoyed, and saw my future there, so I wasn’t looking for a career change. (...) . I would come home from a reasonably high-pressure job, embedded in a bank and working on internet banking software, and then try to shift gears for a few hours of development. Almost always I would sideline it and invest time in my other hobbies that let me wind down instead.	(devs worked on multiple projects simultaneously with negative results)	none	none
Mini Metro	2016	planning	We knew that a mobile release was inevitable—in fact, that was what we were originally focusing on, until we changed tack to desktop because of the viability of Early Access. Because of this, during the Early Access period we’d often jump the gun on mobile work instead of focusing on finishing the core game.	(devs worked on multiple projects simultaneously with negative results)	none	none
Splosion Man	2009	multiple-projects	Although Twisted Pixels primary focus is developing original games using our own IP, we also do contract work for other games. During Splosion Mans development, we had more concurrent projects going on than we have had in the past. It was typical for us to have a small team of programmers working on outside contract work while our main team is working on our own game. However, during Splosion Man we were also finishing up The Maw downloadable content, had another small team working on a port of another game, had a couple of people working on some contract work, and were working with another developer who was porting The Maw for release on Windows. This stretched those of us who were involved with managing these projects pretty thin, especially given that we were also active key members of the Splosion Man team. There were just too many things to monitor and do with too few people to make sure that it was all running smoothly.	(devs worked on multiple projects simultaneously with negative results)	none	none
TRON 2.0	2003	multiple-projects	TRON 2.0 got off to a pretty good start. A lot of enthusiasm, ideas, and excitement flowed through the office. However, the majority of the team was still busy wrapping up other projects, and only a core team of about four or five actually began preproduction work on TRON 2.0. This is a pretty common scenario for most developers. The pacing of production usually has a small team jump-starting the next project by writing documentation, doing concept art, prototyping, and so on. Unfortunately, we failed to recognize a few issues that caused ripples later on in the production. These are lessons that we definitely plan to implement into future projects.	(devs worked on multiple projects simultaneously with negative results)	none	none
Tycoon 2: Marine Mania	2007	multiple-projects	I can’t think of any project that I’ve worked on where I haven’t wished for a little more time… and this one wasn’t an exception. Because we had established a clear project vision statement at the beginning of development, we were able to deliver all of the things that we felt were essential to the product. And we’re extremely pleased with our results. But even still, there are always the little things that you wish you could do, or the easter eggs you think of that you could add and we certainly had our share of those. We also faced some serious pressure on resources…the human kind that is. Some members of the team were actually working on three different projects under the Zoo Tycoon 2 franchise simultaneously in areas that were notoriously hard to “schedule.” Not only did it stress some of the people who were in this situation but these multiple simultaneous Zoo projects also put a lot of pressure on QA…more on that a little later.	(devs worked on multiple projects simultaneously with negative results)	none	none
The Blackwell Convergence	2009	multiple-projects	I soon announced that The Blackwell Convergence would be finished by March of 2008. What I did not expect was that I would get a call from a major game publisher who was interested in hiring me to design and produce a fully-funded game. This was an offer I couldnt refuse, so I accepted, and soon, Emerald City Confidential was greenlit and on its way. (...) Unfortunately, this also meant that I had to put Blackwell Convergence on the back burner. I didnt have the energy or the manpower to work on both projects at once, so production on Convergence was almost completely halted. This disappointed many fans, who had been promised a new game by March and werent going to get it. When they asked when the game was coming out, I could only reply that I didnt know.	(devs worked on multiple projects simultaneously with negative results)	none	none
Dust: An Elysian Tail	2012	team	And it wasnt exactly a walk in the park for my collaborators. On top of working on multiple projects themselves, we were all caught off guard by the accelerated schedule. HyperDuck produced music and sound at an insane pace, Toon Platoon was recording and editing hundreds of lines across 40 actors seemingly overnight, and Alex and I rushed on last-minute changes to the script to accommodate the actors and to lock it down for localization.	(devs worked on multiple projects simultaneously with negative results)	none	none
Wild 9	1998	multiple-projects	Our tools programmer and resident Irish person Malachy once decided to bring us a little multiplayer game he was working on in his spare time. The game was called Deal Me In, and he wanted us to help him beta test it. Deal Me In is best described as a very addictive cross between Scrabble and Poker. Actually, addictive doesn’t even begin to describe the darn thing. Everyone at Shiny plays games. So when it comes to testing a very addictive game, we are very thorough. The game became an obsession, to the point where it was affecting our productivity. It turns out, after extensive research, that there is no such thing as a quick game of Deal Me In.	(devs worked on multiple projects simultaneously with negative results)	none	none
NFL RUSH Heroes and Rivals	2015	team	This one was to be smaller and more family focused. So Heroes and Rivals was meant to be targeted at a hardcore football fandom, while GameDay Heroes was meant to be played by families in one room. This split the team.	(devs worked on multiple projects simultaneously with negative results)	none	none
Vanishing Point	2015	team	One of the things that we struggled with was the dearth of 3D artists and animators local to USC. Much of Vanishing Point’s 3D art had to be outsourced to volunteer freelancers or non artists. Thus, asset production was slow and fraught with errors. (...) Furthermore, since most of our team was made out of volunteers who were not taking the AGP class for credit, we had no way to keep volunteer members accountable for completing their tasks on time to a high standard since there was no consequence for receiving a red on a task.	(difficulties finding qualified professionals: 3D artists)	none	none
SWAT3 Close Quarters Battle	1999	team	We had a difficult time finding the right people for both programming and art positions. Several people were transferred to our project after theirs had been cancelled or had shipped way past its deadline. Needless to say, this is a bad way to fill out a team. Some of them adapted well, but others were totally fried from the tremendous amount of overtime they had just put in, and had a difficult time getting motivated for a new project. We had an especially hard time finding good programmers. We interviewed a lot of people, but our only external hire was the AI programmer, who turned out to be exceptional. The programmer responsible for the character animation export tools had just come from two cancelled projects and only lasted a few months. Another programmer was difficult to work with, refused to work overtime, and quit a couple of months before our ship date.	(difficulties finding qualified professionals: devs)	none	none
SpellCraft School of Magic	2012	delays	Actually, in the scheme of things,SpellCraft was on time -- we were only two or three weeks late by our own reckoning, and while weeks = months in iOS development, for a project with so many moving parts we pretty much shot directly through the hoop of fire. The problem was that, owing to the vagaries of App Store approval times and shutdowns, this pushed our release date back from November 17th to December 8th, which both put us square in the Christmas crunch, and also may have cost us an opportunity for an Apple feature at launch (they were engaged with us in the run-up to the 17th, but after that I think they had other priorities). Launching as late as we did meant that our guys were also eager to head off for the holidays immediately after we went live.	(excessive/unnecessary bureaucracy: game launch was delayed due to app store slow approval process)	none	none
Tony Hawk Pro Skater (Dreamcast)	2000	communication	Because Activision sold the rights to Crave, to obtain assets or anything else we had to ask Crave, who in turn would ask Activision, who in turn would ask Neversoft. When we would suddenly discover we were missing something, it took forever to do anything about it. For example, when we needed the raw sound files it was days before we actually got a CD with the files on it, and the CD wasnt exhaustive. We had similar problems with tools -- we never did fully understand Neversofts Max plug-in and were limited in what we could do to improve the levels because of it -- as well as with some of the source code.	(excessive/unnecessary bureaucracy: in order to get assets for the port, the devs had to talk with multiple publishers)	none	none
Resident Evil 2 (N64)	2000	communication	Its Murphys law: for a project that had run so smoothly, our biggest problem came in the final hour, after the game was complete and we were awaiting approval from Nintendo. We were all ready to kick back and congratulate each other on a job well done, but our title still needed approval from Nintendo, both in Japan and in the U.S. The ensuing delays caused us to miss our ideal release date, which in the U.S. was Halloween.While it would be easy simply to complain about how terrible big publishers are, there are things you can do to mitigate the bureaucracy. The thing to keep in mind is that at some point there are decision makers involved with approving your game. Anyone who has shipped a game,especially for Nintendo, knows that even the most minor misbehavior can hold up the process. So what to do now that your game is being sent into the hands of who knows how many random individuals? Simple: realize that there is a process.	(excessive/unnecessary bureaucracy: release was delayed)	none	none
Trine	2010	delays	And it wasnt just internal -- many PS3 gamers were getting furious as the wait got longer with each passing week. Our long history of successful forum interaction with our fans backfired, when the estimated release dates we posted were missed time and again. When we realized the process could take longer, we became more vague with "no comment" posts, which did not do much to help. We got more than our share of press coverage on websites all over the internet, and with each delay the user comments started to turn more and more frustrated, especially with the busy Christmas period and its slew of great AAA games coming up. The PSN versions were finally launched on the 17th of September (EU) and the 22nd of October (US) of 2009 -- the one month delay between Europe and North America further highlights the submission and launch problems with the project (...) The situation remained much the same with patches -- the European version promptly got the patch that added proper Trophy images and made the last level easier, but the North American version had to wait over half a year until several non-technical aspects fell into place. It is much more difficult to get game updates released on the console platforms, and this was something we were not prepared for.	(excessive/unnecessary bureaucracy: release/patch delays made the player community frustrated with the game and the devs)	none	none
Music Up	2002	planning	Obtaining the rights to Music Up consumed 25 percent of the total budget -- which conflicted with our philosophy of cutting costs as much as possible. If the money could have been spent on the engine, we would have realized more long-term benefits. The marketing effect of building the game around the property was minimal, as the airing of the series didn’t favor of the games development and marketing at all. In return, it became a serious constrain of the production. Most seriously, the music we bought with the copyright was not fully owned by the show’s film producer. The problem wasn’t found out until the production went to the final period. As a result, some music that the game designers most wanted was not available for use in the game. You can guess how disappointed the team was when we got the news.	(excessive/unnecessary bureaucracy: sound assets could not be used because of copyright contract issues that were only identified in the end of development)	none	none
Slow Down, Bull	2015	delays	It was important for the company to not divide its message across games, so the result was there was a big delay between wrapping up the developer streams and the launch of the game so we couldn’t tie launch promotion to the streams.	(excessive/unnecessary bureaucracy: the game launch was delayed because the publisher took some time to close the deal with streamers)	none	none
The Adventures Of Shuggy	2011	delays	I believe the single biggest problem was how long it took to get the game into peoples hands. Development started at the beginning of 2007, and the version of the game entered into Microsofts Dream Build Play competition wasnt vastly different from what was finally released in June this year. Seeing games such as Braid, Lazy Raiders, and P.B. Winterbottom released, which use mechanics featured in Shuggy was upsetting. I knew my chance to stand out kept slipping away. Not only that, but there has been an understandable assumption that I stole the mechanics of those games for Shuggy. Particularly upsetting for the time travel / past echo mechanic, as Id released Timeslip back in 1999. I cant help but wonder how the game would have been received had it been released sometime in 2008, but as a lone developer there was no way I could fund an XBLA release myself. It was unfortunate that Vivendi was taken over by Activision Blizzard, as it (eventually) decided to terminate the Shuggy contract, but it was something I had an infuriating lack of control over.	(excessive/unnecessary bureaucracy: the release was delayed and, in the meanwhile, other similar games appeared in the market)	none	none
Trine	2010	team	The three to four months the game spent in QA caused a lot of anxiety and uncertainty on the whole team, most of whom had moved on to other projects by then. The teams, and especially the managements and the programmers, moods swung from the first submissions triumphant joy to annoyance to desperation to humorous disbelief during these weeks of constant waiting for new QA notes and final acceptance.	(excessive/unnecessary bureaucracy: the submission process and demand for high quality standards put a lot of pressure in the team)	none	none
Sportsfriends	2014	planning	"But it was weird," admits Wilson. "The contracts were weird, and we were sort of in uncharted territory. Our project has been crazy in every aspect. As if console development isnt tricky enough, in so many ways this project does stuff thats not traditional. Weve had to fight through a lot of weird bureaucratic snags. But luckily Nick and those guys have helped guide us through it."	(excessive/unnecessary bureaucracy)	none	none
Heavy Gear 2	1999	planning	Heavy Gear II was built completely from the battleground up, so every aspect of the game required significant development time. Unfortunately, the development schedule was too optimistic about how long it would take to create the title. Here’s an idea of the scope of the game, as specified by our design document. Heavy Gear II required a brand new game engine and an accompanying suite of design, development, and debugging tools. The game had more than 40 single-player missions, as well as numerous historical and instant-action missions. Additionally, multiplayer functionality (including cooperative play with multiplayer AI) was required for deathmatch, king of the hill, steal the beacon, and historical settings. We were also required to construct three different modes for each and all of these missions: terrestrial, space, and Gomorrah (combat in an enclosed, multi-level, near-future megacity) gaming modes.	(execution time for the tasks was underestimated: engine creation, art, game missions/modes)	Project Mismanagement	Brown et al.
Command and Conquer: Tiberian Sun	2000	delays	Everybody on the team knew this and we tried as hard as we could to work out all the details before we started the shoot. The problem was we didn’t have enough time and couldn’t change the date of the shoot because we wouldn’t have been able to get our two main actors, James Earl Jones and Michael Biehn. Going into the shoot, we had a pretty good idea of how we were going to work out all of the technical details such as camera tracking on a bluescreen, matching lighting to computer graphics, compositing, and so on. However, we ran into difficulties because we didn’t allow enough time for the more complex shots and were forced to edit on the fly during the shoot.	(execution time for the tasks was underestimated: game cutscene capture was rushed and edition process was hard)	Project Mismanagement	Brown et al.
Renowned Explorers	2016	planning	As mentioned before we started to create AbbeyCore, our own engine, a month before we started development on Renowned Explorers. Lets just stop there, because explaining why this is not a good idea is an insult to your intelligence. I dont know why we did it, I dont know why no one objected, (we even had folks who already created engines before!) so lets just say we were collectively drunk for 2 months. Once we started producing the game, AbbeyCore was far from ready for it. Add in the costs of learning new tech, and you got yourself set-up for months of delay. We paid a heavy short-time price in both time and money, with the hope that it would all pay out in the long-term. But there was a question we didnt ask ourselves: Isnt the price so high that we might not make it to long-term? (...) In short: we were very happy with the result (it became a good, deep game with plenty of interesting choices), but the costs were huge (most importantly, reliance on authority, and customers not knowing what to expect).	(execution time for the tasks was underestimated: middleware creation)	Project Mismanagement	Brown et al.
The Incredible Hulk	2008	cutting-features	Again, the upfront tech investment limited our polish time. Rather than work at a measured pace from the start, we were pushing hard to get all content in the game and be feature complete by alpha and beyond. While our client was enthusiastic about the fully destructible aspect of our design, the detracted polish time that resulted from its implementation was a warranted source of frustration on both sides.	(execution time for the tasks was underestimated: not enough time to polish)	Project Mismanagement	Brown et al.
Swords & Soldiers	2010	planning	Another point which required a lot more work than expected was simply polish. We wanted the game to be as good as we could make it at that time. During our game design education we worked on games, so we thought we knew how to make games. But school projects have strict deadlines, and once those pass, the game gets evaluated. This meant we had never actually completely finished a game. We always went about 90 percent there, which was good enough for good grades. As the saying goes, the last 10 percent of the work takes 90 percent of your time. It might not have been quite that extreme for us in this case, but it still took a good deal longer than we expected.	(execution time for the tasks was underestimated: not enough time to polish)	Project Mismanagement	Brown et al.
